detector,feature,coef_log_odds,odds_ratio,ci_low_or,ci_high_or,p_value
VulBERTa-public,transform_brace_line_shift,-2.2143839852644245,0.10922077513640302,0.04149684836063359,0.28747189708781473,7.297870988631772e-06
VulBERTa-public,transform_code_normalization_abstraction,3.052100385258882,21.15974138974779,18.982655445088596,23.58651332929549,0.0
VulBERTa-public,transform_comment_banner,5.216814855210691,184.34607901500337,169.69936150287444,200.2569517483437,0.0
VulBERTa-public,transform_control_flow_rewrite,-2.214423609637302,0.10921644741742519,0.04149789097704734,0.28744189416953164,7.284864917300737e-06
VulBERTa-public,transform_dead_branch_after_opening_brace,5.1266467786949335,168.4513154046334,155.11082632868894,182.93916893603026,0.0
VulBERTa-public,transform_identifier_renaming,5.408461594734686,223.28781616632165,205.32529815315073,242.82175307563284,0.0
VulBERTa-public,transform_safe_dead_code_carrier,5.234623062030688,187.6583574508826,172.730475563626,203.8763513285841,0.0
VulBERTa-public,label_vulnerable,0.2502074865535015,1.2842918623370472,1.2361471358882643,1.3343117010742733,0.0
VulBERTa-public,score_margin,-0.930398151725766,0.39439664940003255,0.3770446356816209,0.412547222099504,0.0
VulBERTa-public,code_len,0.6442549361833009,1.9045674761957994,1.4651974077425312,2.475691843443563,1.4738572069461497e-06
VulBERTa-public,token_len_proxy,-0.7437965434865965,0.47530596594390345,0.3600001769264194,0.6275434728690207,1.54776612859564e-07
VulBERTa-public,truncation_proxy,0.037382091746283964,1.0380895905347751,0.9858259277635532,1.0931240167535161,0.15608647304291412
LineVul-public,transform_brace_line_shift,-0.5836170753209564,0.5578768302300678,0.45214486153666833,0.6883337270489094,5.222082366529435e-08
LineVul-public,transform_code_normalization_abstraction,-3.7797129298857417,0.0228292440782185,0.009002633103967875,0.05789132792195749,1.7763568394002505e-15
LineVul-public,transform_comment_banner,0.38855355963599386,1.4748459735628532,1.2846065174992904,1.6932582982444364,3.4967990281131733e-08
LineVul-public,transform_control_flow_rewrite,-3.9022413585103717,0.020196592871877018,0.007556092076318968,0.05398324418395221,7.327471962526033e-15
LineVul-public,transform_dead_branch_after_opening_brace,3.9432940046047205,51.58825367442897,47.258917647459135,56.31419528120151,0.0
LineVul-public,transform_identifier_renaming,0.3447047963211708,1.4115731565669303,1.2272540606682083,1.6235748083452592,1.3761138537571327e-06
LineVul-public,transform_safe_dead_code_carrier,4.172073863260475,64.84980236979786,59.09550733527043,71.16440922560353,0.0
LineVul-public,label_vulnerable,0.13332828123732907,1.1426250391297461,1.0878147511989922,1.2001969807885275,1.060420402598794e-07
LineVul-public,score_margin,-0.812425126477321,0.4437805362492296,0.390502702567855,0.504327276248319,0.0
LineVul-public,code_len,0.5472420411570652,1.7284793631771427,1.151946652635025,2.5935583927390815,0.008211845344529234
LineVul-public,token_len_proxy,-1.2772317370210877,0.278808047141353,0.1860319677062903,0.4178525234625387,6.124025730969151e-10
LineVul-public,truncation_proxy,0.2874547134123412,1.333030222406224,1.2334067861089069,1.440700338170091,4.0611958240788226e-13
