setting,threshold,clean_precision,clean_recall,clean_f1,variant_f1,flip_rate,robust_accuracy,complete_resistance
fixed_0.5,0.5,0.6153846153846154,0.006374501992031873,0.012618296529968456,0.037368775883655975,0.01221632503660322,0.9439189189189189,0.5
posthoc_clean_f1_threshold,1.2441323633538559e-05,0.4603232916972814,0.998406374501992,0.6301232084485793,0.6298460571787621,0.0021046852122986823,0.9912767644726408,0.9976057462090981
posthoc_recall_0.25,4.271837315172888e-05,0.48757763975155277,0.250199203187251,0.3307003686150605,0.41037842737366864,0.1426610541727672,0.4106776180698152,0.7707006369426752
posthoc_recall_0.5,1.9412216715863906e-05,0.4805194805194805,0.501195219123506,0.49063962558502344,0.5260329486388864,0.12344436310395315,0.47194950911640954,0.8648648648648649
posthoc_recall_0.8,1.3741190741711762e-05,0.4667287110283853,0.799203187250996,0.5893066980023502,0.5997813591000458,0.07004941434846267,0.7203898050974513,0.9531405782652044
