dataset,detector,clean_n,clean_precision,clean_recall,clean_f1,clean_balanced_accuracy,clean_mcc,clean_pr_auc,variant_n,variant_precision,variant_recall,variant_f1,variant_balanced_accuracy,variant_mcc,variant_pr_auc,flip_rate,flip_count,flip_n,prediction_file
codexglue_120origins_slice,vulberta_mlp_devign_public,120,0.725,0.5370370370370371,0.6170212765957447,0.6851851851851852,0.3908679799852858,0.7504960998406932,960,0.7157190635451505,0.49537037037037035,0.585499316005472,0.6671927609427609,0.3592278309610373,0.7322979193323136,0.065625,63,960,results/public_exact/vulberta_mlp_devign/codexglue_slice_predictions.jsonl
codexglue_120origins_slice,linevul_mickymike_public,120,1.0,0.018518518518518517,0.03636363636363636,0.5092592592592593,0.10134483201751004,0.4445463274809571,960,0.5454545454545454,0.027777777777777776,0.05286343612334802,0.5044191919191919,0.0293845425070661,0.45347726297218605,0.016666666666666666,16,960,results/public_exact/linevul_mickymike/codexglue_slice_predictions.jsonl
