transform,n,changed_n,applicability_rate,delimiter_valid_n,delimiter_valid_rate,skip_or_unchanged_rate
blank_line_expansion,2732,1864,0.6822840409956076,2662,0.9743777452415813,0.3177159590043924
brace_line_shift,2732,2661,0.9740117130307467,2662,0.9743777452415813,0.02598828696925326
code_normalization_abstraction,2732,1410,0.5161054172767203,2660,0.9736456808199122,0.4838945827232797
comment_banner,2732,2732,1.0,2662,0.9743777452415813,0.0
control_flow_rewrite,2732,8,0.0029282576866764276,2662,0.9743777452415813,0.9970717423133235
dead_branch_after_opening_brace,2732,2732,1.0,2662,0.9743777452415813,0.0
identifier_renaming,2732,2311,0.845900439238653,2662,0.9743777452415813,0.154099560761347
safe_dead_code_carrier,2732,2732,1.0,2662,0.9743777452415813,0.0
