detector,f1_drop,f1_ci_low,f1_ci_high,pr_auc_drop,pr_auc_ci_low,pr_auc_ci_high
VulBERTa-public,0.02201776282662493,0.015294332857232362,0.028587002363171243,0.012767336834768495,0.0077333456829105085,0.01744215902289492
LineVul-public,-0.02475047935368752,-0.03073487333379859,-0.018600792666102647,0.009053142663910052,-0.0006187174525141281,0.01896176568526492
