detector,strategy,precision,recall,f1,tp,fp,tn,fn
VulBERTa-public,Original only,0.6271028037383177,0.5346613545816733,0.5772043010752688,671,399,1078,584
VulBERTa-public,Majority vote,0.6261770244821092,0.5298804780876494,0.5740181268882175,665,397,1080,590
VulBERTa-public,Max-risk,0.5878084179970973,0.6454183266932271,0.6152677554120776,810,568,909,445
LineVul-public,Original only,0.6153846153846154,0.006374501992031873,0.012618296529968456,8,5,1472,1247
LineVul-public,Majority vote,0.6428571428571429,0.007171314741035857,0.014184397163120569,9,5,1472,1246
LineVul-public,Max-risk,0.5172413793103449,0.07171314741035857,0.12596221133659902,90,84,1393,1165
