dataset,detector,clean_balanced_accuracy,variant_balanced_accuracy,balanced_accuracy_drop,clean_mcc,variant_mcc,clean_pr_auc,variant_pr_auc,flip_rate,flip_ci_low,flip_ci_high,mcnemar_exact_p
bigvul,codebert_devign_local,0.5101007858633397,0.5051485831577294,0.004952202705610365,0.010553964580234667,0.005522681081489292,0.04203622977848816,0.042062977462694835,0.03741666666666667,0.035088736110298085,0.03989265642674128,1.6354053097530256e-11
bigvul,linevul_local,0.5017247326664367,0.5010132804415316,0.0007114522249050959,0.01079446158343832,0.00826809676923828,0.03554239839569242,0.03564749109741925,0.001375,0.0009792836693601407,0.0019303114027665116,2.3283064365386963e-10
bigvul,regvd_structural_local,0.5002049187326459,0.5021674425117572,-0.001962523779111214,0.0003772329193596084,0.004482213866526781,0.03721263018826743,0.03753363569210397,0.021333333333333333,0.019580423807477786,0.02323944986082596,1.3626808355844428e-16
bigvul,vulberta_devign_local,0.5042691402634571,0.5006798605869556,0.0035892796765015778,0.004132379587335696,0.0006802953190183637,0.037889497315820066,0.036352029655790756,0.025958333333333333,0.02402119786503888,0.028047195477953087,1.5262266214955818e-35
diversevul,codebert_devign_local,0.5397702614789274,0.534350745025846,0.005419516453081363,0.050377322388056214,0.04456775489182379,0.061463273111128244,0.0613519680706061,0.0319,0.0302222862930914,0.03366761441686007,9.80474563296012e-20
diversevul,linevul_local,0.5046384145055872,0.5025036896479022,0.0021347248576850664,0.021933133837686088,0.016081283602226708,0.06857580396472084,0.06841902179864576,0.0041,0.003519634915481756,0.004775604909480713,1.4112197669286793e-47
diversevul,regvd_structural_local,0.5171352252879731,0.5129496591741588,0.004185566113814265,0.040405812722415786,0.035283621236125516,0.06757068955000166,0.06824650798703116,0.0178,0.01654976901765692,0.019142839660699403,1.3776050180450261e-45
diversevul,vulberta_devign_local,0.5413892765172678,0.5335511333105268,0.007838143206740922,0.04801923200300902,0.040127115277993945,0.06824559335910113,0.06705090311117429,0.026825,0.025286488143919254,0.02845438724260347,4.767229991022982e-60
