detector,train_rows,threshold,validation_f1,codexglue_clean_f1,codexglue_tifr,bigvul_vdcp,juliet_sard_vdcp,codexglue_predictions,bigvul_predictions,juliet_predictions
hash_lr_original,21854,1.1263860064744957,0.6213821618428825,0.6378066378066377,0.013727932893380123,0.37623762376237624,0.675,results/consistency_cure_6000/hash_lr_original_codexglue_predictions.jsonl,results/consistency_cure_6000/hash_lr_original_bigvul_patch_predictions.jsonl,results/consistency_cure_6000/hash_lr_original_juliet_sard_predictions.jsonl
hash_lr_consistency,42053,-6.912284035682678,0.606687898089172,0.6314688970203868,0.009856693432213836,0.36633663366336633,0.5575,results/consistency_cure_6000/hash_lr_consistency_codexglue_predictions.jsonl,results/consistency_cure_6000/hash_lr_consistency_bigvul_patch_predictions.jsonl,results/consistency_cure_6000/hash_lr_consistency_juliet_sard_predictions.jsonl
