detector,base_id,transform,cwe,score_margin,vdcp_success,score_tie,decision_success
VulBERTa-public,bigvul-0558f33c06bb910e2879e355192227a8e8f0219d-1421,safe_dead_code_carrier,unknown,-0.22428858280181885,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,blank_line_expansion,CWE-119,-0.16171001642942429,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,brace_line_shift,CWE-119,-0.16171007603406906,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,code_normalization_abstraction,CWE-119,-0.16171007603406906,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,comment_banner,CWE-119,-0.080535888671875,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,control_flow_rewrite,CWE-119,-0.16171007603406906,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,dead_branch_after_opening_brace,CWE-119,-0.08916941285133362,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,identifier_renaming,CWE-119,-0.16171007603406906,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,original,CWE-119,-0.16171001642942429,0.0,0.0,0.0
VulBERTa-public,bigvul-0a38f71865b63025dce4de1f8cca71979c48d14d-2034,safe_dead_code_carrier,CWE-119,-0.12428457289934158,0.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,blank_line_expansion,CWE-264,-0.010224103927612305,0.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,brace_line_shift,CWE-264,-0.010224103927612305,0.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,code_normalization_abstraction,CWE-264,-0.03363889455795288,0.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,comment_banner,CWE-264,0.021392762660980225,1.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,control_flow_rewrite,CWE-264,-0.010224103927612305,0.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,dead_branch_after_opening_brace,CWE-264,0.0018042922019958496,1.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,identifier_renaming,CWE-264,0.027940869331359863,1.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,original,CWE-264,-0.010224103927612305,0.0,0.0,0.0
VulBERTa-public,bigvul-0bd1a6ddb5fb23dfea3e72d60e5e8df4cf5826bc-1777,safe_dead_code_carrier,CWE-264,-0.016048789024353027,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,blank_line_expansion,CWE-264,-0.015054864808917046,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,brace_line_shift,CWE-264,-0.015054864808917046,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,code_normalization_abstraction,CWE-264,-0.005953462794423103,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,comment_banner,CWE-264,-0.006740465760231018,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,control_flow_rewrite,CWE-264,-0.015054864808917046,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,dead_branch_after_opening_brace,CWE-264,-0.0075417011976242065,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,identifier_renaming,CWE-264,-0.001134650781750679,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,original,CWE-264,-0.015054864808917046,0.0,0.0,0.0
VulBERTa-public,bigvul-0bfc96cb77224736dfa35c3c555d37b3646ef35e-2152,safe_dead_code_carrier,CWE-264,-0.07968838512897491,0.0,0.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,blank_line_expansion,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,brace_line_shift,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,code_normalization_abstraction,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,comment_banner,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,control_flow_rewrite,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,dead_branch_after_opening_brace,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,identifier_renaming,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,original,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1-1398,safe_dead_code_carrier,CWE-190,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,blank_line_expansion,CWE-281,-0.014583885669708252,0.0,0.0,0.0
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,brace_line_shift,CWE-281,-0.014583885669708252,0.0,0.0,0.0
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,code_normalization_abstraction,CWE-281,-0.014583766460418701,0.0,0.0,0.0
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,comment_banner,CWE-281,-0.054027557373046875,0.0,0.0,0.0
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,control_flow_rewrite,CWE-281,-0.014583766460418701,0.0,0.0,0.0
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,dead_branch_after_opening_brace,CWE-281,-0.12148931622505188,0.0,0.0,0.0
