detector,cwe,pairs,vdcp,mean_score_margin,score_tie_rate,decision_pair_success
LineVul-public,CWE134,8,1.0,2.122046225849772e-05,0.0,0.0
LineVul-public,CWE176,8,0.25,-5.467321670948877e-07,0.0,0.0
LineVul-public,CWE256,8,0.0,-8.83204597812437e-06,0.0,0.0
LineVul-public,CWE319,8,0.875,1.1602666745602619e-05,0.0,0.0
LineVul-public,CWE321,8,0.25,-4.270964382158127e-08,0.0,0.0
LineVul-public,CWE401,8,0.25,-5.948313628323376e-07,0.0,0.0
LineVul-public,CWE416,8,0.25,-1.1088485507571022e-06,0.0,0.0
LineVul-public,CWE426,8,0.0,-3.4285507126696757e-06,0.0,0.0
LineVul-public,CWE457,8,0.25,-2.5246170025639003e-06,0.0,0.0
LineVul-public,CWE789,8,0.375,1.4185523923515575e-05,0.0,0.0
LineVul-public,CWE843,8,0.25,-6.691612952636206e-07,0.0,0.0
LineVul-public,CWE121,7,0.2857142857142857,-2.133115880756772e-08,0.0,0.0
LineVul-public,CWE190,7,0.2857142857142857,-2.347182219507106e-06,0.0,0.0
LineVul-public,CWE191,7,0.7142857142857143,1.4334711002967587e-06,0.0,0.0
LineVul-public,CWE195,7,0.42857142857142855,6.640980765431388e-06,0.0,0.0
LineVul-public,CWE197,7,0.42857142857142855,6.724064535644304e-06,0.0,0.0
LineVul-public,CWE464,7,0.5714285714285714,9.689497996337844e-07,0.0,0.0
LineVul-public,CWE665,7,0.42857142857142855,-5.677325784095696e-09,0.0,0.0
LineVul-public,CWE427,6,1.0,1.9376783257030183e-05,0.0,0.0
LineVul-public,CWE476,6,0.16666666666666666,-2.0795206789140743e-06,0.0,0.0
LineVul-public,CWE369,5,0.2,3.4239899832755326e-06,0.0,0.0
ReGVD-official-validation-calibrated,CWE606,12,0.4166666666666667,-0.012290587027867636,0.0,0.0
ReGVD-official-validation-calibrated,CWE126,11,0.2727272727272727,-0.005759496580470692,0.0,0.0
ReGVD-official-validation-calibrated,CWE15,11,0.09090909090909091,-0.02681810747493397,0.0,0.0
ReGVD-official-validation-calibrated,CWE194,11,0.36363636363636365,-0.01109346476468173,0.0,0.0
ReGVD-official-validation-calibrated,CWE563,11,0.18181818181818182,-0.012907404791225086,0.0,0.0
ReGVD-official-validation-calibrated,CWE590,11,0.36363636363636365,-0.0036117353222586894,0.0,0.0
ReGVD-official-validation-calibrated,CWE591,11,0.18181818181818182,-0.009796635671095415,0.0,0.0
ReGVD-official-validation-calibrated,CWE680,11,0.0,-0.03422915664586154,0.0,0.0
ReGVD-official-validation-calibrated,CWE775,11,0.7272727272727273,0.0003570101477883079,0.0,0.0
ReGVD-official-validation-calibrated,CWE123,10,0.1,-0.010290855169296264,0.0,0.0
ReGVD-official-validation-calibrated,CWE124,10,0.2,-0.0031000524759292603,0.0,0.0
ReGVD-official-validation-calibrated,CWE415,10,0.5,-0.0033860564231872558,0.0,0.0
ReGVD-official-validation-calibrated,CWE588,10,0.6,-0.004389303922653198,0.0,0.0
ReGVD-official-validation-calibrated,CWE675,10,0.4,-0.005566483736038208,0.0,0.0
ReGVD-official-validation-calibrated,CWE690,10,0.3,-0.007237458229064941,0.0,0.0
ReGVD-official-validation-calibrated,CWE773,10,0.4,-0.005173882842063904,0.0,0.0
ReGVD-official-validation-calibrated,CWE78,10,0.5,-0.006337243318557739,0.0,0.0
ReGVD-official-validation-calibrated,CWE114,9,0.6666666666666666,0.0011064509550730388,0.0,0.0
ReGVD-official-validation-calibrated,CWE122,9,0.4444444444444444,-0.0014562937948438856,0.0,0.0
ReGVD-official-validation-calibrated,CWE259,9,0.5555555555555556,4.495514763726128e-05,0.0,0.0
ReGVD-official-validation-calibrated,CWE400,9,0.0,-0.029741588566038344,0.0,0.0
ReGVD-official-validation-calibrated,CWE761,9,0.3333333333333333,-0.0010995732413397895,0.0,0.0
ReGVD-official-validation-calibrated,CWE90,9,0.2222222222222222,-0.015553212828106351,0.0,0.0
ReGVD-official-validation-calibrated,CWE134,8,0.625,-0.005789157003164291,0.0,0.0
ReGVD-official-validation-calibrated,CWE176,8,0.625,-0.0022249072790145874,0.0,0.0
ReGVD-official-validation-calibrated,CWE256,8,0.25,-0.004443425685167313,0.0,0.0
ReGVD-official-validation-calibrated,CWE319,8,0.25,-0.008192077279090881,0.0,0.0
ReGVD-official-validation-calibrated,CWE321,8,0.125,-0.010387681424617767,0.0,0.0
ReGVD-official-validation-calibrated,CWE401,8,0.25,-0.007336519658565521,0.0,0.0
