detector,train_rows,threshold,validation_f1,codexglue_clean_f1,codexglue_tifr,bigvul_vdcp,juliet_sard_vdcp,codexglue_predictions,bigvul_predictions,juliet_predictions
hash_lr_original,21854,1.1263860064744957,0.6213821618428825,0.6378066378066377,0.013727932893380123,0.37623762376237624,0.675,results/consistency_cure/hash_lr_original_codexglue_predictions.jsonl,results/consistency_cure/hash_lr_original_bigvul_patch_predictions.jsonl,results/consistency_cure/hash_lr_original_juliet_sard_predictions.jsonl
hash_lr_consistency,21059,-15.331281708312988,0.6057667772390917,0.6301782575947779,0.011130387050927245,0.31683168316831684,0.495,results/consistency_cure/hash_lr_consistency_codexglue_predictions.jsonl,results/consistency_cure/hash_lr_consistency_bigvul_patch_predictions.jsonl,results/consistency_cure/hash_lr_consistency_juliet_sard_predictions.jsonl
